;First Relaxation;;Second Relaxation;
Time;Experimental;Numerical;Experimental;Numerical
43.1;1.77481;1.906208893;1.6313;1.652342918
43.2;1.77463;1.905896881;1.63066;1.652210626
43.3;1.77373;1.905585941;1.63045;1.652078625
43.4;1.77462;1.905276069;1.63078;1.651946913
43.5;1.77338;1.904967259;1.63152;1.65181549
43.6;1.77264;1.904659505;1.6304;1.651684354
43.7;1.77263;1.904352802;1.63002;1.651553503
43.8;1.77244;1.904047146;1.6301;1.651422936
43.9;1.7718;1.90374253;1.63004;1.651292653
44;1.77117;1.90343895;1.62989;1.651162652
44.1;1.77193;1.9031364;1.62963;1.651032931
44.2;1.77106;1.902834876;1.62932;1.65090349
44.3;1.77129;1.902534372;1.62902;1.650774327
44.4;1.77083;1.902234883;1.62884;1.650645441
44.5;1.76994;1.901936404;1.62914;1.650516831
44.6;1.77006;1.90163893;1.62911;1.650388495
44.7;1.76966;1.901342456;1.62865;1.650260433
44.8;1.76895;1.901046977;1.62871;1.650132642
44.9;1.76951;1.900752488;1.62859;1.650005123
45;1.76909;1.900458984;1.62893;1.649877874
45.1;1.76848;1.90016646;1.62804;1.649750893
45.2;1.76771;1.899874912;1.62815;1.649624179
45.3;1.76765;1.899584334;1.62765;1.649497732
45.4;1.76739;1.899294721;1.62788;1.649371549
45.5;1.76725;1.899006069;1.62733;1.649245631
45.6;1.76712;1.898718373;1.62758;1.649119975
45.7;1.76688;1.898431629;1.62692;1.648994582
45.8;1.76592;1.898145831;1.62728;1.648869448
45.9;1.76606;1.897860974;1.62714;1.648744574
46;1.76589;1.897577055;1.6275;1.648619958
46.1;1.76495;1.897294068;1.6269;1.648495599
46.2;1.76484;1.897012009;1.62683;1.648371496
46.3;1.76384;1.896730873;1.62672;1.648247648
46.4;1.76418;1.896450656;1.62639;1.648124053
46.5;1.76345;1.896171352;1.62552;1.648000712
46.6;1.76351;1.895892958;1.62624;1.647877622
46.7;1.764;1.895615469;1.62605;1.647754782
46.8;1.76291;1.89533888;1.62591;1.647632191
46.9;1.76244;1.895063187;1.62555;1.647509849
47;1.76287;1.894788386;1.62645;1.647387754
47.1;1.76251;1.894514471;1.62562;1.647265906
47.2;1.76079;1.894241439;1.62584;1.647144302
47.3;1.76077;1.893969286;1.62507;1.647022942
47.4;1.76132;1.893698006;1.62594;1.646901826
47.5;1.7613;1.893427596;1.62501;1.646780951
47.6;1.76081;1.893158051;1.62544;1.646660317
47.7;1.76044;1.892889367;1.62445;1.646539923
47.8;1.75931;1.892621539;1.62461;1.646419767
47.9;1.75964;1.892354564;1.624;1.64629985
48;1.75877;1.892088437;1.62455;1.646180169
48.1;1.75915;1.891823154;1.62424;1.646060724
48.2;1.75766;1.891558711;1.624;1.645941514
48.3;1.75851;1.891295103;1.62425;1.645822537
48.4;1.7581;1.891032326;1.62406;1.645703793
48.5;1.75734;1.890770377;1.62313;1.645585281
48.6;1.75799;1.890509251;1.62291;1.645466999
48.7;1.75722;1.890248944;1.62301;1.645348947
48.8;1.75749;1.889989453;1.62309;1.645231124
48.9;1.75635;1.889730772;1.62277;1.645113529
49;1.7563;1.889472898;1.62337;1.64499616
49.1;1.75573;1.889215827;1.62299;1.644879017
49.2;1.75593;1.888959555;1.62332;1.6447621
49.3;1.75529;1.888704078;1.62221;1.644645406
49.4;1.75473;1.888449393;1.62249;1.644528934
49.5;1.75488;1.888195494;1.62225;1.644412685
49.6;1.75416;1.887942379;1.62262;1.644296657
49.7;1.75282;1.887690043;1.62162;1.644180849
49.8;1.75332;1.887438483;1.6218;1.644065261
49.9;1.75385;1.887187694;1.62154;1.64394989
50;1.75399;1.886937673;1.62163;1.643834737
50.1;1.75287;1.886688416;1.62118;1.6437198
50.2;1.75237;1.88643992;1.62151;1.643605079
50.3;1.75273;1.88619218;1.62165;1.643490572
50.4;1.75087;1.885945193;1.6219;1.643376279
50.5;1.75225;1.885698955;1.62071;1.643262198
50.6;1.75158;1.885453462;1.62151;1.643148329
50.7;1.75039;1.885208711;1.62122;1.643034672
50.8;1.75003;1.884964698;1.62108;1.642921224
50.9;1.75138;1.88472142;1.62006;1.642807986
51;1.75064;1.884478872;1.62037;1.642694956
51.1;1.75081;1.884237051;1.61894;1.642582133
51.2;1.75003;1.883995954;1.61922;1.642469517
51.3;1.74839;1.883755577;1.61998;1.642357106
51.4;1.74894;1.883515916;1.61955;1.6422449
51.5;1.74942;1.883276968;1.61978;1.642132899
51.6;1.74938;1.883038729;1.61925;1.6420211
51.7;1.74804;1.882801196;1.61963;1.641909504
51.8;1.74832;1.882564366;1.6185;1.641798108
51.9;1.74802;1.882328234;1.61958;1.641686914
52;1.7474;1.882092798;1.61924;1.641575919
52.1;1.74726;1.881858054;1.61892;1.641465123
52.2;1.74799;1.881623999;1.61927;1.641354525
52.3;1.74661;1.881390629;1.61873;1.641244124
52.4;1.74691;1.88115794;1.61881;1.64113392
52.5;1.74676;1.88092593;1.6181;1.641023911
52.6;1.74579;1.880694596;1.61805;1.640914097
52.7;1.74556;1.880463933;1.6182;1.640804477
52.8;1.74463;1.880233938;1.61755;1.64069505
52.9;1.74453;1.880004609;1.61775;1.640585816
53;1.74463;1.879775942;1.61799;1.640476773
53.1;1.74468;1.879547933;1.61744;1.64036792
53.2;1.74398;1.87932058;1.61728;1.640259258
