;;;First Relaxation;;;Second Relaxation;;
Numerical Time;Experimental Time;Experimental;Equation 1;Equation 2;Equation 3;Equation 1;Equation 2;Equation 3
26,7;26,7;2,05167;1,907880832;1,904884645;1,904885228;2,436876957;2,43317968;2,433179768
26,8;26,8;2,05956;1,912061788;1,911673662;1,911673585;2,442682022;2,442281258;2,442280995
26,9;26,9;2,06672;1,921458721;1,918460512;1,91846109;2,455083247;2,451383002;2,451383088
27;27;2,07545;1,925636305;1,925246516;1,925246439;2,460888209;2,460485614;2,460485351
27,1;27,1;2,08109;1,935030593;1,932030375;1,932030946;2,473291607;2,469588399;2,469588483
27,2;27,2;2,08837;1,939204839;1,938813397;1,93881332;2,47909648;2,478692057;2,478691794
27,3;27,3;2,09627;1,948596513;1,945594296;1,945594863;2,491502066;2,487795898;2,48779598
27,4;27,4;2,10308;1,952767453;1,95237437;1,952374293;2,497306862;2,496900615;2,496900352
27,5;27,5;2,11182;1,962156547;1,959152341;1,959152902;2,509714648;2,506005524;2,506005603
27,6;27,6;2,11842;1,966324212;1,965929497;1,965929421;2,51551938;2,515111313;2,51511105
27,7;27,7;2,12222;1,975710757;1,972704573;1,972705129;2,527929379;2,524217302;2,524217379
27,8;27,8;2,13112;1,979875178;1,979478844;1,979478767;2,533734059;2,533324176;2,533323913
